name,party,electorate,portrait_url,email,phone,website,twitter,attendance_overall,attendance_12m
"Andrew Leigh","ALP","Fenner","","","","","","",""
"Alicia Payne","ALP","Canberra","","","","","","",""
"David Smith","ALP","Bean","","","","","","",""
"Anthony Albanese","ALP","Grayndler","","","","","","",""
"Ash Ambihaipahar","ALP","Barton","","","","","","",""
"Carol Berry","ALP","Whitlam","","","","","","",""
"Nicolette Boele","IND","Bradfield","","","","","","",""
"Chris Bowen","ALP","McMahon","","","","","","",""
"Tony Burke","ALP","Watson","","","","","","",""
"Alison Byrnes","ALP","Cunningham","","","","","","",""
"Jamie Chaffey","NATS","Parkes","","","","","","",""
"Andrew Charlton","ALP","Parramatta","","","","","","",""
"Jason Clare","ALP","Blaxland","","","","","","",""
"Sharon Claydon","ALP","Newcastle","","","","","","",""
"Pat Conaghan","NATS","Cowper","","","","","","",""
"Pat Conroy","ALP","Shortland","","","","","","",""
"Justine Elliot","ALP","Richmond","","","","","","",""
"Mike Freelander","ALP","Macarthur","","","","","","",""
"Andrew Gee","IND","Calare","","","","","","",""
"Alex Hawke","LP","Mitchell","","","","","","",""
"Kevin Hogan","NATS","Page","","","","","","",""
"Ed Husic","ALP","Chifley","","","","","","",""
"Barnaby Joyce","NATS","New England","","","","","","",""
"Simon Kennedy","LP","Cook","","","","","","",""
"Jerome Laxale","ALP","Bennelong","","","","","","",""
"Dai Le","IND","Fowler","","","","","","",""
"Julian Leeser","LP","Berowra","","","","","","",""
"Sussan Ley","LP","Farrer","","","","","","",""
"Kristy McBain","ALP","Eden-Monaro","","","","","","",""
"Emma McBride","ALP","Dobell","","","","","","",""
"Michael McCormack","NATS","Riverina","","","","","","",""
"Melissa McIntosh","LP","Lindsay","","","","","","",""
"David Moncrieff","ALP","Hughes","","","","","","",""
"Alison Penfold","NATS","Lyne","","","","","","",""
"Fiona Phillips","ALP","Gilmore","","","","","","",""
"Tanya Plibersek","ALP","Sydney","","","","","","",""
"Gordon Reid","ALP","Robertson","","","","","","",""
"Dan Repacholi","ALP","Hunter","","","","","","",""
"Michelle Rowland","ALP","Greenway","","","","","","",""
"Sophie Scamps","IND","Mackellar","","","","","","",""
"Sally Sitou","ALP","Reid","","","","","","",""
"Zhi Soon","ALP","Banks","","","","","","",""
"Allegra Spender","IND","Wentworth","","","","","","",""
"Anne Stanley","ALP","Werriwa","","","","","","",""
"Zali Steggall","IND","Warringah","","","","","","",""
"Meryl Swanson","ALP","Paterson","","","","","","",""
"Angus Taylor","LP","Hume","","","","","","",""
"Susan Templeman","ALP","Macquarie","","","","","","",""
"Matt Thistlethwaite","ALP","Kingsford Smith","","","","","","",""
"Luke Gosling","ALP","Solomon","","","","","","",""
"Marion Scrymgour","ALP","Lingiari","","","","","","",""
