name,party,state,portrait_url,email,phone,website,twitter,attendance_overall,attendance_12m
"Katy Gallagher","ALP","ACT","","","","","","",""
"David Pocock","IND","ACT","","","","","","",""
"Tim Ayres","ALP","NSW","","","","","","",""
"Andrew Bragg","LP","NSW","","","","","","",""
"Ross Cadell","NATS","NSW","","","","","","",""
"Jessica Collins","LP","NSW","","","","","","",""
"Mehreen Faruqi","AG","NSW","","","","","","",""
"Maria Kovacic","LP","NSW","","","","","","",""
"Jenny McAllister","ALP","NSW","","","","","","",""
"Deborah O'Neill","ALP","NSW","","","","","","",""
"Dave Sharma","LP","NSW","","","","","","",""
"Tony Sheldon","ALP","NSW","","","","","","",""
"David Shoebridge","AG","NSW","","","","","","",""
"Malarndirri McCarthy","ALP","NT","","","","","","",""
"Jacinta Nampijinpa Price","CLP","NT","","","","","","",""
"Penny Allman-Payne","AG","QLD","","","","","","",""
"Matthew Canavan","NATS","QLD","","","","","","",""
"Anthony Chisholm","ALP","QLD","","","","","","",""
"Nita Green","ALP","QLD","","","","","","",""
"Pauline Hanson","PHON","QLD","","","","","","",""
"Susan McDonald","LNP","QLD","","","","","","",""
"James McGrath","LNP","QLD","","","","","","",""
"Corinne Mulholland","ALP","QLD","","","","","","",""
"Malcolm Roberts","PHON","QLD","","","","","","",""
"Paul Scarr","LP","QLD","","","","","","",""
"Larissa Waters","AG","QLD","","","","","","",""
"Murray Watt","ALP","QLD","","","","","","",""
"Alex Antic","LP","SA","","","","","","",""
"Leah Blyth","LP","SA","","","","","","",""
"Don Farrell","ALP","SA","","","","","","",""
"Karen Grogan","ALP","SA","","","","","","",""
"Sarah Hanson-Young","AG","SA","","","","","","",""
"Kerrynne Liddle","LP","SA","","","","","","",""
"Andrew McLachlan","LP","SA","","","","","","",""
"Barbara Pocock","AG","SA","","","","","","",""
"Anne Ruston","LP","SA","","","","","","",""
"Marielle Smith","ALP","SA","","","","","","",""
"Charlotte Walker","ALP","SA","","","","","","",""
"Penny Wong","ALP","SA","","","","","","",""
"Wendy Askew","LP","TAS","","","","","","",""
"Carol Brown","ALP","TAS","","","","","","",""
"Claire Chandler","LP","TAS","","","","","","",""
"Richard Colbeck","LP","TAS","","","","","","",""
"Josh Dolega","ALP","TAS","","","","","","",""
"Richard Dowling","ALP","TAS","","","","","","",""
"Jonathon Duniam","LP","TAS","","","","","","",""
"Jacqui Lambie","JLN","TAS","","","","","","",""
"Nick McKim","AG","TAS","","","","","","",""
"Helen Polley","ALP","TAS","","","","","","",""
"Tammy Tyrrell","IND","TAS","","","","","","",""
"Peter Whish-Wilson","AG","TAS","","","","","","",""
"Michelle Ananda-Rajah","ALP","VIC","","","","","","",""
"Ralph Babet","UAP","VIC","","","","","","",""
"Raff Ciccone","ALP","VIC","","","","","","",""
"Lisa Darmanin","ALP","VIC","","","","","","",""
"Sarah Henderson","LP","VIC","","","","","","",""
"Steph Hodgins-May","AG","VIC","","","","","","",""
"Jane Hume","LP","VIC","","","","","","",""
"Bridget McKenzie","NATS","VIC","","","","","","",""
"James Paterson","LP","VIC","","","","","","",""
"Jana Stewart","ALP","VIC","","","","","","",""
"Lidia Thorpe","IND","VIC","","","","","","",""
"Jess Walsh","ALP","VIC","","","","","","",""
"Slade Brockman","LP","WA","","","","","","",""
"Michaelia Cash","LP","WA","","","","","","",""
"Dorinda Cox","ALP","WA","","","","","","",""
"Varun Ghosh","ALP","WA","","","","","","",""
"Sue Lines","ALP","WA","","","","","","",""
"Matt O'Sullivan","LP","WA","","","","","","",""
"Fatima Payman","AV","WA","","","","","","",""
"Dean Smith","LP","WA","","","","","","",""
"Jordon Steele-John","AG","WA","","","","","","",""
"Glenn Sterle","ALP","WA","","","","","","",""
"Ellie Whiteaker","ALP","WA","","","","","","",""
"Tyron Whitten","PHON","WA","","","","","","",""
